model,accuracy_mean,accuracy_std
Averaging,0.8451007469713139,0.020402134136453514
Soft Voting,0.8439771514656957,0.018733698112318245
Stacking Ridge,0.8417425145941874,0.01490198860259423
Stacking Logistic,0.8417425145941874,0.01209633220018171
XGBoost,0.838359173937606,0.032552973882158304
LightGBM,0.8361182599962337,0.02794868863690614
DNN-11,0.8361182599962337,0.011164516523135578
Random Forest,0.8327600276191074,0.009853972112220824
CatBoost,0.8316593416453086,0.03399216226551137
Logistic Regression,0.8282656455966354,0.010060096764251006
KNN,0.820387922917582,0.03707523776710929
Decision Tree,0.8136651810934655,0.022215090328345285
